pt_id,src,tax_family,species,species_class,cx,cy,minx,miny,maxx,maxy
1679,merged_fixed,Myrtaceae,Pimienta racemosa,other,571926.9534000002,2843924.4951000004,571923.4633500001,2843921.0050500003,571930.4434500004,2843927.9851500005
1680,polygon,Myrtaceae,Pimienta racemosa,other,571933.4677000003,2843996.3702000007,571929.5102000004,2843991.752800001,571936.5714999996,2844000.5369000006
1681,polygon,Myrtaceae,Pimienta racemosa,other,571915.4795000002,2844244.7182000005,571913.5691,2844239.4013,571919.5411,2844247.4691000003
1682,nomatch_fixed,Myrtaceae,Pimienta racemosa,other,571916.1827000002,2844236.7791000004,571912.6926500001,2844233.2890500003,571919.6727500004,2844240.2691500005
1683,merged_fixed,Myrtaceae,Pimienta racemosa,other,571915.9872000003,2844233.267900001,571912.4971500002,2844229.7778500007,571919.4772500005,2844236.757950001
1684,merged_fixed,Myrtaceae,Pimienta racemosa,other,571916.2672000002,2844228.5824000007,571912.7771500001,2844225.0923500005,571919.7572500004,2844232.072450001
1685,polygon,Myrtaceae,Pimienta racemosa,other,571916.6292000003,2844220.4272000007,571913.1549000004,2844216.814099999,571921.6267999997,2844226.3297000006
1686,polygon,Myrtaceae,Pimienta racemosa,other,571916.8186000002,2844213.695500001,571915.9051000001,2844211.6241999995,571920.5998999998,2844216.298800001
1687,polygon,Myrtaceae,Pimienta racemosa,other,571916.4688000003,2844196.5115000005,571915.4480999997,2844194.072000001,571920.6991999997,2844199.4372000005
1688,polygon,Myrtaceae,Pimienta racemosa,other,571917.2713000003,2844190.251700001,571915.3117000004,2844186.1823999994,571921.805,2844194.4354
1689,nomatch_fixed,Myrtaceae,Pimienta racemosa,other,571916.8263000003,2844186.506000001,571913.3362500002,2844183.0159500004,571920.3163500004,2844189.9960500007
1690,nomatch_fixed,Myrtaceae,Pimienta racemosa,other,571916.4688000003,2844182.5473000007,571912.9787500001,2844179.0572500005,571919.9588500004,2844186.037350001
1691,merged_fixed,Myrtaceae,Pimienta racemosa,other,571916.8262000002,2844176.6371000004,571913.3361500001,2844173.1470500003,571920.3162500004,2844180.1271500005
1692,merged_fixed,Myrtaceae,Pimienta racemosa,other,571917.2818000002,2844173.5245000008,571913.7917500001,2844170.0344500006,571920.7718500004,2844177.014550001
1693,nomatch_fixed,Arecaceae,Cocos nucifera,palm,572015.3884000003,2844224.2727000006,572011.8983500001,2844220.7826500004,572018.8784500004,2844227.7627500007
1694,polygon,Arecaceae,Cocos nucifera,palm,572012.7688000003,2844222.8362000007,572010.8453000002,2844219.319599999,572014.8132999996,2844223.9853000008
1695,nomatch_fixed,Arecaceae,Cocos nucifera,palm,572018.177,2844221.7377000004,572014.6869500001,2844218.2476500003,572021.6670500004,2844225.2277500005
1696,nomatch_fixed,Arecaceae,Cocos nucifera,palm,572019.3724000002,2844218.940300001,572015.8823500001,2844215.4502500007,572022.8624500004,2844222.430350001
1697,nomatch_fixed,Arecaceae,Cocos nucifera,palm,572022.9433000003,2844212.0216000006,572019.4532500001,2844208.5315500004,572026.4333500004,2844215.5116500007
1698,nomatch_fixed,Arecaceae,Cocos nucifera,palm,572026.4027000003,2844206.3303000005,572022.9126500002,2844202.8402500004,572029.8927500005,2844209.8203500006
1699,polygon,Calophyllaceae,Calophyllum brasiliense,other,571918.9473000002,2844461.8483000007,571918.0069000004,2844454.908500001,571927.9058999997,2844465.306500001
1700,nomatch_fixed,Calophyllaceae,Calophyllum brasiliense,other,571919.8646000003,2844466.3639000007,571916.3745500002,2844462.8738500006,571923.3546500005,2844469.853950001
1701,nomatch_fixed,Calophyllaceae,Calophyllum brasiliense,other,571921.4168000002,2844472.9961000006,571917.9267500001,2844469.5060500004,571924.9068500004,2844476.4861500007
1702,nomatch_fixed,Calophyllaceae,Calophyllum brasiliense,other,571920.7818000002,2844469.750600001,571917.2917500001,2844466.2605500007,571924.2718500004,2844473.240650001
1703,nomatch_fixed,Calophyllaceae,Calophyllum brasiliense,other,571922.0866000003,2844476.3575000004,571918.5965500001,2844472.8674500003,571925.5766500004,2844479.8475500005
1704,nomatch_fixed,Calophyllaceae,Calophyllum brasiliense,other,571923.0496000003,2844484.302700001,571919.5595500001,2844480.8126500007,571926.5396500004,2844487.792750001
1705,nomatch_fixed,Calophyllaceae,Calophyllum brasiliense,other,571924.7254000002,2844491.3938000007,571921.2353500001,2844487.9037500005,571928.2154500004,2844494.883850001
1706,nomatch_fixed,Calophyllaceae,Calophyllum brasiliense,other,571925.0781000003,2844495.2744000005,571921.5880500001,2844491.7843500003,571928.5681500004,2844498.7644500006
1707,nomatch_fixed,Calophyllaceae,Calophyllum brasiliense,other,571925.9387000003,2844499.711400001,571922.4486500002,2844496.2213500007,571929.4287500004,2844503.201450001
1708,nomatch_fixed,Calophyllaceae,Calophyllum brasiliense,other,571927.1948000003,2844505.011,571923.7047500001,2844501.5209500003,571930.6848500004,2844508.5010500005
1709,nomatch_fixed,Calophyllaceae,Calophyllum brasiliense,other,571928.6765000003,2844509.1738000005,571925.1864500002,2844505.6837500003,571932.1665500004,2844512.6638500006
1710,nomatch_fixed,Calophyllaceae,Calophyllum brasiliense,other,571929.3115000003,2844513.6188000008,571925.8214500002,2844510.1287500006,571932.8015500004,2844517.108850001
1711,nomatch_fixed,Calophyllaceae,Calophyllum brasiliense,other,571931.0048000002,2844518.2756000008,571927.5147500001,2844514.7855500006,571934.4948500004,2844521.765650001
1712,nomatch_fixed,Calophyllaceae,Calophyllum brasiliense,other,571932.7687000002,2844524.0611000005,571929.2786500001,2844520.5710500004,571936.2587500004,2844527.5511500007
1713,polygon,Calophyllaceae,Calophyllum brasiliense,other,571933.6928000003,2844526.7606000006,571932.7821000004,2844521.3365,571940.5221999995,2844530.2896999996
1714,polygon,Calophyllaceae,Calophyllum brasiliense,other,571936.0848000003,2844533.2333000004,571934.7043000003,2844530.1183,571942.1092999997,2844537.6382999998
1715,nomatch_fixed,Calophyllaceae,Calophyllum brasiliense,other,571937.1743000003,2844537.4309000005,571933.6842500002,2844533.9408500004,571940.6643500004,2844540.9209500006
1716,nomatch_fixed,Calophyllaceae,Calophyllum brasiliense,other,571937.4254000003,2844541.206000001,571933.9353500002,2844537.7159500006,571940.9154500004,2844544.696050001
1717,nomatch_fixed,Arecaceae,Sabal palmetto,palm,571941.5649000002,2844034.827000001,571938.0748500001,2844031.3369500004,571945.0549500004,2844038.3170500007
1718,nomatch_fixed,Arecaceae,Sabal palmetto,palm,571950.1755000002,2844040.818600001,571946.6854500001,2844037.3285500007,571953.6655500004,2844044.308650001
1719,polygon,Arecaceae,Bismarkia nobilis,palm,572092.4647000002,2844338.04,572090.4199000001,2844335.1983000003,572096.3734,2844341.1247000005
1720,polygon,Arecaceae,Bismarkia nobilis,palm,572107.0665000003,2844336.8665000005,572104.4945,2844334.9133,572110.26,2844339.58
1721,merged_fixed,Arecaceae,Roystonea regia,palm,572087.5705000003,2844338.4007000006,572084.0804500001,2844334.9106500004,572091.0605500004,2844341.8907500007
1722,merged_fixed,Arecaceae,Roystonea regia,palm,572084.6974000003,2844340.168100001,572081.2073500002,2844336.6780500007,572088.1874500004,2844343.658150001
1723,polygon,Arecaceae,Roystonea regia,palm,572113.1379000003,2844336.716100001,572110.9693,2844334.597,572117.1087999996,2844339.446900001
1724,nomatch_fixed,Arecaceae,Sabal palmetto,palm,572077.7969000003,2844338.0586000006,572074.3068500002,2844334.5685500004,572081.2869500004,2844341.5486500007
1725,nomatch_fixed,Arecaceae,Sabal palmetto,palm,572116.9585000003,2844337.5481000007,572113.4684500002,2844334.0580500006,572120.4485500004,2844341.038150001
1726,nomatch_fixed,Arecaceae,Sabal palmetto,palm,572118.5783000003,2844337.8861000007,572115.0882500001,2844334.3960500006,572122.0683500004,2844341.376150001
1727,nomatch_fixed,Arecaceae,Sabal palmetto,palm,572121.4776000002,2844339.1978000007,572117.9875500001,2844335.7077500005,572124.9676500004,2844342.687850001
1728,merged_fixed,Arecaceae,Sabal palmetto,palm,572124.464,2844339.526400001,572120.9739500001,2844336.0363500006,572127.9540500004,2844343.016450001
1729,merged_fixed,Arecaceae,Sabal palmetto,palm,572122.2109000003,2844342.6246000007,572118.7208500002,2844339.1345500005,572125.7009500004,2844346.114650001
1730,merged_fixed,Arecaceae,Sabal palmetto,palm,572122.6253000003,2844345.2951000007,572119.1352500002,2844341.8050500005,572126.1153500004,2844348.785150001
1731,merged_fixed,Arecaceae,Veitchia montgomeryana,palm,572088.0507000003,2844371.4771000007,572084.5606500001,2844367.9870500006,572091.5407500004,2844374.967150001
1732,merged_fixed,Arecaceae,Veitchia montgomeryana,palm,572087.4051000003,2844370.2576000006,572083.9150500002,2844366.7675500005,572090.8951500005,2844373.7476500007
1733,nomatch_fixed,Arecaceae,Cocos nucifera,palm,572129.1421000003,2844337.277200001,572125.6520500001,2844333.7871500007,572132.6321500004,2844340.767250001
1734,polygon,Arecaceae,Cocos nucifera,palm,572131.4482000002,2844340.8477000007,572127.8945000004,2844335.7697,572135.1106000002,2844345.1071000006
1735,nomatch_fixed,Arecaceae,Cocos nucifera,palm,572151.7737000003,2844338.8823000006,572148.2836500001,2844335.3922500005,572155.2637500004,2844342.372350001
1736,polygon,Arecaceae,Cocos nucifera,palm,572152.0352000003,2844331.0205000006,572138.0400999999,2844323.2891000006,572153.5499,2844333.5316000003
1737,nomatch_fixed,Arecaceae,Cocos nucifera,palm,572129.5832000002,2844378.8654000005,572126.0931500001,2844375.3753500003,572133.0732500004,2844382.3554500006
1738,merged_fixed,Arecaceae,Cocos nucifera,palm,572143.726,2844383.4435000005,572140.2359500001,2844379.9534500004,572147.2160500004,2844386.9335500007
1739,merged_fixed,Arecaceae,Cocos nucifera,palm,572146.6553000002,2844381.1608000007,572143.1652500001,2844377.6707500005,572150.1453500004,2844384.650850001
1740,polygon,Arecaceae,Cocos nucifera,palm,572127.8203000003,2844384.318,572126.5768,2844379.5134999994,572132.9006000003,2844385.962
1741,nomatch_fixed,Arecaceae,Cocos nucifera,palm,572130.4262000002,2844407.419200001,572126.9361500001,2844403.9291500007,572133.9162500004,2844410.909250001
1742,merged_fixed,Arecaceae,Sabal palmetto,palm,571754.3954000003,2844254.0362000004,571750.9053500001,2844250.5461500003,571757.8854500004,2844257.5262500006
1743,merged_fixed,Arecaceae,Sabal palmetto,palm,571755.1766000002,2844249.7957000006,571751.6865500001,2844246.3056500005,571758.6666500004,2844253.2857500007
1744,nomatch_fixed,Arecaceae,Sabal palmetto,palm,571755.065,2844246.3363000005,571751.5749500002,2844242.8462500004,571758.5550500004,2844249.8263500007
1745,nomatch_fixed,Arecaceae,Sabal palmetto,palm,571755.8462000003,2844242.5422000005,571752.3561500001,2844239.0521500004,571759.3362500004,2844246.0322500006
1746,nomatch_fixed,Arecaceae,Sabal palmetto,palm,571755.3998000002,2844234.730600001,571751.9097500001,2844231.2405500007,571758.8898500004,2844238.220650001
1747,merged_fixed,Arecaceae,Sabal palmetto,palm,571755.9578000003,2844231.606000001,571752.4677500002,2844228.1159500005,571759.4478500005,2844235.0960500007
1748,merged_fixed,Arecaceae,Sabal palmetto,palm,571755.7346000003,2844227.254000001,571752.2445500002,2844223.7639500005,571759.2246500005,2844230.744050001
1749,nomatch_fixed,Arecaceae,Sabal palmetto,palm,571755.5114000003,2844224.0178000005,571752.0213500002,2844220.5277500004,571759.0014500004,2844227.5078500006
1750,merged_fixed,Arecaceae,Sabal palmetto,palm,571753.0214000003,2844231.0704000005,571749.5313500002,2844227.5803500004,571756.5114500005,2844234.5604500007
1751,polygon,Arecaceae,Veitchia montgomeryana,palm,571757.3209000003,2844208.2501000008,571755.5215999996,2844205.5693999995,571760.9345000004,2844210.0393000003
1752,nomatch_fixed,Arecaceae,Veitchia montgomeryana,palm,571763.0536000002,2844207.478400001,571759.5635500001,2844203.9883500007,571766.5436500004,2844210.968450001
1753,nomatch_fixed,Combretaceae,Terminalia buceras,other,571839.8378000003,2844207.1477000006,571836.3477500002,2844203.6576500004,571843.3278500005,2844210.6377500007
1754,nomatch_fixed,Combretaceae,Terminalia buceras,other,571852.5985000003,2844207.836700001,571849.1084500002,2844204.3466500007,571856.0885500005,2844211.326750001
1755,nomatch_fixed,Arecaceae,Roystonea regia,palm,571844.2475000003,2844220.3768000007,571840.7574500002,2844216.8867500005,571847.7375500004,2844223.866850001
1756,nomatch_fixed,Arecaceae,Ptychosperma elegans,palm,571845.9012000003,2844216.8491000007,571842.4111500002,2844213.3590500006,571849.3912500005,2844220.339150001
1757,nomatch_fixed,Arecaceae,Sabal palmetto,palm,571853.6025000003,2844213.571,571850.1124500001,2844210.0809500003,571857.0925500004,2844217.0610500006
1758,nomatch_fixed,Arecaceae,Sabal palmetto,palm,571854.8879000003,2844213.6389000006,571851.3978500002,2844210.1488500005,571858.3779500005,2844217.1289500007
1759,nomatch_fixed,Arecaceae,Sabal palmetto,palm,571855.6588000003,2844213.777200001,571852.1687500002,2844210.2871500007,571859.1488500005,2844217.267250001
1760,nomatch_fixed,Arecaceae,Sabal palmetto,palm,571854.2655000003,2844213.530500001,571850.7754500002,2844210.0404500007,571857.7555500005,2844217.020550001
1761,nomatch_fixed,Arecaceae,Veitchia montgomeryana,palm,571860.6119000003,2844214.1674000006,571857.1218500001,2844210.6773500005,571864.1019500004,2844217.6574500008
1762,nomatch_fixed,Arecaceae,Veitchia montgomeryana,palm,571859.2739000003,2844214.2622000007,571855.7838500001,2844210.7721500006,571862.7639500004,2844217.752250001
1763,nomatch_fixed,Arecaceae,Veitchia montgomeryana,palm,571870.2373000003,2844214.506400001,571866.7472500001,2844211.0163500006,571873.7273500004,2844217.996450001
1764,merged_fixed,Arecaceae,Veitchia montgomeryana,palm,571876.907,2844216.0498000006,571873.4169500001,2844212.5597500005,571880.3970500004,2844219.5398500008
1765,merged_fixed,Arecaceae,Veitchia montgomeryana,palm,571880.1041000002,2844216.0498000006,571876.6140500001,2844212.5597500005,571883.5941500004,2844219.5398500008
1766,nomatch_fixed,Combretaceae,Terminalia buceras,other,571874.6564000003,2844212.241300001,571871.1663500002,2844208.7512500007,571878.1464500005,2844215.731350001
1767,nomatch_fixed,Combretaceae,Terminalia buceras,other,571880.931,2844209.9314000006,571877.4409500001,2844206.4413500004,571884.4210500004,2844213.4214500007
1768,merged_fixed,Arecaceae,Sabal palmetto,palm,571882.1988000002,2844218.0342000006,571878.7087500001,2844214.5441500004,571885.6888500004,2844221.5242500007
1769,merged_fixed,Arecaceae,Sabal palmetto,palm,571885.9722000003,2844221.0693000006,571882.4821500002,2844217.5792500004,571889.4622500004,2844224.5593500007
1770,nomatch_fixed,Apocyanaceae,Tabernaemontana divaricata,other,571885.5887000003,2844230.7397000007,571882.0986500002,2844227.2496500006,571889.0787500005,2844234.229750001
1771,nomatch_fixed,Arecaceae,Veitchia montgomeryana,palm,571884.1555000002,2844235.4802000006,571880.6654500001,2844231.9901500004,571887.6455500004,2844238.9702500007
1772,polygon,Arecaceae,Veitchia montgomeryana,palm,571884.0453000002,2844245.7327000005,571881.3191,2844241.0353999995,571886.0197000001,2844247.657400001
1773,nomatch_fixed,Arecaceae,Veitchia montgomeryana,palm,571880.9694000003,2844252.4536000006,571877.4793500002,2844248.9635500005,571884.4594500004,2844255.9436500007
1774,nomatch_fixed,Arecaceae,Veitchia montgomeryana,palm,571880.0019000003,2844255.7575000008,571876.5118500001,2844252.2674500006,571883.4919500004,2844259.247550001
1775,nomatch_fixed,Myrtaceae,Pimienta racemosa,other,571877.8665000002,2844293.298,571874.3764500001,2844289.8079500003,571881.3565500004,2844296.7880500006
1776,nomatch_fixed,Arecaceae,Cocos nucifera,palm,571879.4978000002,2844299.3935000007,571876.0077500001,2844295.9034500006,571882.9878500004,2844302.883550001
1777,merged_fixed,Sapotaceae,Chrysophyllum oliviforme,other,572287.2308000003,2845291.644800001,572283.7407500001,2845288.1547500007,572290.7208500004,2845295.134850001
1778,nomatch_fixed,Burseraceae,Bursera simaruba,other,572294.8053000002,2845294.794500001,572291.3152500001,2845291.3044500006,572298.2953500004,2845298.284550001
1779,polygon,Burseraceae,Bursera simaruba,other,572297.6757000003,2845296.795,572296.0695000002,2845293.0341999996,572302.7326999996,2845300.93
1780,polygon,Burseraceae,Bursera simaruba,other,572301.5554000003,2845301.562300001,572300.1871999996,2845297.9024,572305.2430999996,2845303.819599999
1781,nomatch_fixed,Burseraceae,Bursera simaruba,other,572310.419,2845316.5713000004,572306.9289500001,2845313.0812500003,572313.9090500004,2845320.0613500006
1782,polygon,Burseraceae,Bursera simaruba,other,572300.3145000003,2845326.5575000006,572297.8865,2845324.5878999997,572303.4577000001,2845330.342599999
1783,polygon,Burseraceae,Bursera simaruba,other,572288.6091000002,2845326.4644000004,572285.0998,2845322.2046000008,572293.0148,2845330.0974000003
1784,nomatch_fixed,Pinaceae,Pinus elliottii,pine,572304.3656000003,2845328.8327000006,572300.8755500001,2845325.3426500005,572307.8556500004,2845332.3227500007
1785,nomatch_fixed,Pinaceae,Pinus elliottii,pine,572311.7312000003,2845332.6497000004,572308.2411500001,2845329.1596500003,572315.2212500004,2845336.1397500006
1786,nomatch_fixed,Pinaceae,Pinus elliottii,pine,572308.98,2845335.657700001,572305.4899500002,2845332.1676500007,572312.4700500005,2845339.147750001
1787,nomatch_fixed,Pinaceae,Pinus elliottii,pine,572308.0097000003,2845337.4079000005,572304.5196500001,2845333.9178500003,572311.4997500004,2845340.8979500006
1788,polygon,Pinaceae,Pinus elliottii,pine,572306.9804000002,2845334.8498000004,572306.4978999998,2845332.3429000005,572308.4764,2845335.395
1789,nomatch_fixed,Pinaceae,Pinus elliottii,pine,572306.0374000003,2845338.2962000007,572302.5473500001,2845334.8061500005,572309.5274500004,2845341.786250001
1790,nomatch_fixed,Pinaceae,Pinus elliottii,pine,572300.2554000003,2845341.034600001,572296.7653500001,2845337.5445500007,572303.7454500004,2845344.524650001
1791,nomatch_fixed,Pinaceae,Pinus elliottii,pine,572297.1828000003,2845342.4528000006,572293.6927500002,2845338.9627500004,572300.6728500004,2845345.9428500007
1792,nomatch_fixed,Pinaceae,Pinus elliottii,pine,572293.7555000003,2845343.3983000005,572290.2654500002,2845339.9082500003,572297.2455500005,2845346.8883500006
1793,nomatch_fixed,Pinaceae,Pinus elliottii,pine,572291.4685000003,2845344.586400001,572287.9784500002,2845341.0963500007,572294.9585500004,2845348.076450001
1794,nomatch_fixed,Arecaceae,Thrinax radiata,palm,572322.4734000002,2845337.8437000006,572318.9833500001,2845334.3536500004,572325.9634500004,2845341.3337500007
1795,polygon,Fabaceae,Delonix regia,other,572327.9097000003,2845329.984700001,572326.3482999997,2845327.2568999995,572331.033,2845332.2837000005
1796,nomatch_fixed,Arecaceae,Sabal palmetto,palm,572337.8027000002,2845323.1183000007,572334.3126500001,2845319.6282500005,572341.2927500004,2845326.608350001
1797,nomatch_fixed,Arecaceae,Sabal palmetto,palm,572340.7721000003,2845322.3158000004,572337.2820500002,2845318.8257500003,572344.2621500004,2845325.8058500006
1798,polygon,Arecaceae,Sabal palmetto,palm,572341.4943000003,2845319.2662000004,572339.5679000001,2845314.6187999994,572344.9823000003,2845320.5221999995
1799,nomatch_fixed,Arecaceae,Sabal palmetto,palm,572344.1427000003,2845318.142600001,572340.6526500002,2845314.6525500007,572347.6327500005,2845321.632650001
1800,nomatch_fixed,Arecaceae,Sabal palmetto,palm,572346.1491000003,2845314.1299000005,572342.6590500001,2845310.6398500004,572349.6391500004,2845317.6199500007
1801,nomatch_fixed,Arecaceae,Sabal palmetto,palm,572349.0383000002,2845313.3274000008,572345.5482500001,2845309.8373500006,572352.5283500004,2845316.817450001
1802,nomatch_fixed,Arecaceae,Sabal palmetto,palm,572349.1231000003,2845309.7167000007,572345.6330500002,2845306.2266500005,572352.6131500005,2845313.206750001
1803,nomatch_fixed,Arecaceae,Sabal palmetto,palm,572353.2595000003,2845310.7804000005,572349.7694500001,2845307.2903500004,572356.7495500004,2845314.2704500007
1804,nomatch_fixed,Arecaceae,Sabal palmetto,palm,572351.7669000003,2845308.351500001,572348.2768500001,2845304.8614500007,572355.2569500004,2845311.841550001
1805,nomatch_fixed,Arecaceae,Sabal palmetto,palm,572353.8535000003,2845305.783500001,572350.3634500002,2845302.2934500007,572357.3435500005,2845309.273550001
1806,nomatch_fixed,Arecaceae,Sabal palmetto,palm,572354.0844000003,2845314.951300001,572350.5943500001,2845311.4612500006,572357.5744500004,2845318.441350001
1807,nomatch_fixed,Arecaceae,Veitchia montgomeryana,palm,572299.3385000003,2845287.7708000005,572295.8484500002,2845284.2807500004,572302.8285500004,2845291.2608500007
1808,nomatch_fixed,Arecaceae,Veitchia montgomeryana,palm,572295.1113000002,2845282.8266000007,572291.6212500001,2845279.3365500006,572298.6013500004,2845286.316650001
1809,nomatch_fixed,Arecaceae,Veitchia montgomeryana,palm,572298.3045000003,2845279.3435000004,572294.8144500002,2845275.8534500003,572301.7945500005,2845282.8335500006
1810,nomatch_fixed,Arecaceae,Veitchia montgomeryana,palm,572302.7568000003,2845274.492100001,572299.2667500002,2845271.0020500007,572306.2468500005,2845277.982150001
1811,polygon,Arecaceae,Veitchia montgomeryana,palm,572305.2882000003,2845271.918400001,572304.5064000003,2845268.3478999995,572308.2890999997,2845272.2885
1812,nomatch_fixed,Arecaceae,Veitchia montgomeryana,palm,572309.136,2845267.7957000006,572305.6459500002,2845264.3056500005,572312.6260500004,2845271.2857500007
1813,nomatch_fixed,Arecaceae,Veitchia montgomeryana,palm,572313.887,2845271.4347000006,572310.3969500001,2845267.9446500004,572317.3770500004,2845274.9247500007
1814,nomatch_fixed,Arecaceae,Veitchia montgomeryana,palm,572309.5941000002,2845275.7663000007,572306.1040500001,2845272.2762500006,572313.0841500004,2845279.256350001
1815,nomatch_fixed,Arecaceae,Veitchia montgomeryana,palm,572306.7541000003,2845278.8812000006,572303.2640500001,2845275.3911500005,572310.2441500004,2845282.371250001
1816,nomatch_fixed,Arecaceae,Veitchia montgomeryana,palm,572302.4021000003,2845283.7672000006,572298.9120500002,2845280.2771500004,572305.8921500004,2845287.2572500007
1817,polygon,Arecaceae,Sabal palmetto,palm,572294.9964000003,2845363.9616000005,572293.5399000002,2845359.7108999994,572299.3157000002,2845366.3411
1818,merged_fixed,Arecaceae,Sabal palmetto,palm,572305.3529000003,2845365.2892000005,572301.8628500002,2845361.7991500003,572308.8429500004,2845368.7792500006
1819,merged_fixed,Arecaceae,Sabal palmetto,palm,572304.1235000002,2845362.4656000007,572300.6334500001,2845358.9755500006,572307.6135500004,2845365.955650001
1820,merged_fixed,Arecaceae,Sabal palmetto,palm,572307.966,2845363.7737000007,572304.4759500001,2845360.2836500006,572311.4560500004,2845367.263750001
1821,merged_fixed,Arecaceae,Sabal palmetto,palm,572316.4113000003,2845366.8278000006,572312.9212500001,2845363.3377500004,572319.9013500004,2845370.3178500007
1822,nomatch_fixed,Pinaceae,Pinus elliottii,pine,572310.5371000003,2845363.548,572307.0470500002,2845360.0579500003,572314.0271500004,2845367.0380500006
1823,nomatch_fixed,Pinaceae,Pinus elliottii,pine,572313.2529000003,2845366.2977000005,572309.7628500002,2845362.8076500003,572316.7429500005,2845369.7877500006
1824,merged_fixed,Arecaceae,Sabal palmetto,palm,572316.4184000003,2845364.206200001,572312.9283500002,2845360.7161500007,572319.9084500005,2845367.696250001
1825,merged_fixed,Arecaceae,Sabal palmetto,palm,572319.3042000002,2845365.568900001,572315.8141500001,2845362.0788500006,572322.7942500004,2845369.058950001
1826,polygon,Arecaceae,Roystonea regia,palm,572291.0948000003,2845161.9681000006,572289.5937000001,2845159.809800001,572294.828,2845165.014
1827,polygon,Arecaceae,Roystonea regia,palm,572295.9903000003,2845156.5108000007,572293.9533000002,2845153.2139,572298.6487999996,2845158.0527
1828,polygon,Arecaceae,Roystonea regia,palm,572303.311,2845149.5247000004,572299.022,2845146.2586000003,572305.5187,2845153.064200001
1829,polygon,Arecaceae,Roystonea regia,palm,572308.1197000003,2845144.1431000005,572306.2729000002,2845140.5501000006,572310.606,2845146.2782000005
1830,polygon,Arecaceae,Roystonea regia,palm,572312.8278000003,2845138.5005000005,572310.2670999998,2845134.6643000003,572316.0400999999,2845140.929199999
1831,nomatch_fixed,Arecaceae,Roystonea regia,palm,572317.9057000002,2845133.9059000006,572314.4156500001,2845130.4158500005,572321.3957500004,2845137.3959500007
1832,polygon,Arecaceae,Roystonea regia,palm,572322.867,2845127.413000001,572320.2320999997,2845124.843800001,572325.4682999998,2845130.5907000005
1833,nomatch_fixed,Arecaceae,Roystonea regia,palm,572328.8142000003,2845133.0767000006,572325.3241500001,2845129.5866500004,572332.3042500004,2845136.5667500007
1834,nomatch_fixed,Arecaceae,Roystonea regia,palm,572324.6639000003,2845137.3892000006,572321.1738500001,2845133.8991500004,572328.1539500004,2845140.8792500007
1835,nomatch_fixed,Arecaceae,Roystonea regia,palm,572319.0233000002,2845144.954300001,572315.5332500001,2845141.4642500007,572322.5133500004,2845148.444350001
1836,nomatch_fixed,Arecaceae,Roystonea regia,palm,572312.7634000003,2845150.4918000004,572309.2733500001,2845147.0017500003,572316.2534500004,2845153.9818500006
1837,nomatch_fixed,Arecaceae,Roystonea regia,palm,572308.2692000003,2845155.8688000008,572304.7791500002,2845152.3787500006,572311.7592500005,2845159.358850001
1838,polygon,Arecaceae,Roystonea regia,palm,572302.4909000003,2845161.9681000006,572299.8603999997,2845158.4398,572304.9105000002,2845164.0014999993
1839,polygon,Arecaceae,Roystonea regia,palm,572299.5688000002,2845167.2555000004,572294.7849000003,2845164.6810999997,572299.837,2845169.8804
1840,polygon,Arecaceae,Roystonea regia,palm,572285.9673000003,2845169.263800001,572283.4260999998,2845164.9815999996,572289.39,2845170.0075000003
1841,nomatch_fixed,Arecaceae,Roystonea regia,palm,572290.6644000002,2845176.047500001,572287.1743500001,2845172.5574500007,572294.1544500004,2845179.537550001
1842,nomatch_fixed,Arecaceae,Roystonea regia,palm,572287.8637000002,2845181.0885000005,572284.3736500001,2845177.5984500004,572291.3537500004,2845184.5785500007
1843,nomatch_fixed,Arecaceae,Roystonea regia,palm,572283.4105000002,2845185.7894000006,572279.9204500001,2845182.2993500005,572286.9005500004,2845189.2794500007
1844,nomatch_fixed,Arecaceae,Roystonea regia,palm,572277.6026000002,2845191.0619000006,572274.1125500001,2845187.5718500004,572281.0926500004,2845194.5519500007
1845,nomatch_fixed,Arecaceae,Roystonea regia,palm,572273.0202000003,2845194.5712000006,572269.5301500001,2845191.0811500004,572276.5102500004,2845198.0612500007
1846,nomatch_fixed,Arecaceae,Roystonea regia,palm,572267.4703000003,2845200.9104000004,572263.9802500001,2845197.4203500003,572270.9603500004,2845204.4004500005
1847,nomatch_fixed,Arecaceae,Roystonea regia,palm,572277.4022000002,2845180.0008000005,572273.9121500001,2845176.5107500004,572280.8922500004,2845183.4908500006
1848,nomatch_fixed,Arecaceae,Roystonea regia,palm,572271.5081000003,2845185.8306000005,572268.0180500002,2845182.3405500003,572274.9981500005,2845189.3206500006
1849,polygon,Arecaceae,Roystonea regia,palm,572267.024,2845189.0979000004,572264.7391999997,2845187.2915000003,572269.8028999995,2845192.675899999
1850,polygon,Arecaceae,Roystonea regia,palm,572261.9289000003,2845196.0229000007,572260.03,2845193.717,572264.5394000001,2845198.733100001
1851,merged_fixed,Arecaceae,Sabal palmetto,palm,572228.9737000003,2845245.8179000006,572225.4836500002,2845242.3278500005,572232.4637500005,2845249.3079500007
1852,merged_fixed,Arecaceae,Sabal palmetto,palm,572228.3397000002,2845242.2512000008,572224.8496500001,2845238.7611500006,572231.8297500004,2845245.741250001
1853,nomatch_fixed,Arecaceae,Sabal palmetto,palm,572231.0648000003,2845239.894800001,572227.5747500001,2845236.4047500007,572234.5548500004,2845243.384850001
